Common Name,CODE
Ancient Murrelet,ANMU
Arctic Tern,ARTE
Ashy Storm-Petrel,ASST
black brant,BLBR
Black-footed albatross,BFAL
Black Storm-Petrel,BLST
Black-Vented Shearwater,BVSH
Bonaparte's gull,BOGU
Brandt's cormorant,BRCO
Brown Pelican,BRPE
California Gull,CAGU
Caspian tern,CATE
Cassin's auklet,CAAU
Commic Tern,CMTE
common loon,COLO
Common murre,COMU
common tern,COTE
Cook's Petrel,COPE
Dark Shearwater,DASH
Double-crested Cormorant,DCCO
Elegant Tern,ELTE
Fork-tailed Storm-petrel,FTSP
Glaucous-winged Gull,GWGU
Glau-winged x Larus sp. (hybrid),GWHY
greater scaup,GRSC
harlequin duck,HADU
Heermann's gull,HEEG
Hybrid Gull,HYGU
Immature gull,IMGU
Leach's Storm-Petrel,LESP
Long-tailed Jaeger,LTJA
Marbled Murrelet,MAMU
Northern fulmar,NOFU
pacific loon,PALO
parakeet auklet,PAAU
Parasitic Jaeger,PAJA
Pelagic Cormorant,PECO
Pigeon Guillemot,PIGU
Pink-footed shearwater,PFSH
pomarine jaeger,POJA
red phalarope,REPH
Red-necked Phalarope,RNPH
red-throated loon,RTLO
Rhinoceros Auklet,RHAU
ring-billed gull,RBGU
Ruddy Turnstone,RUTU
Sabine's Gull,SAGU
short-tailed shearwater,STSH
Sooty shearwater,SOSH
South Polar Skua,SPSK
Surf Scoter,SUSC
Tufted Puffin,TUPU
unidentifed tern,UNTE
unidentifide shearwater,UNSH
unidentified albatross,UNAL
unidentified alcid,ALCD
unidentified black procellarid,PROC
unidentified cormorant,CORM
unidentified duck,UNDU
unidentified goose,UNGO
Unidentified gull,GULL
unidentified jaeger,JAEG
unidentified loon,UNLO
unidentified phalarope,PHAL
unidentified scoter,UNSC
unidentified shorebird,SHOR
unidentified storm-petrel,SPSP
unidentified tern,TERN
western grebe,WEGR
Western gull,WEGU
Western x Glaucous-winged Gull,WGHY
Western x Glaucous-winged hybrid gull,WGGU
White-winged Scoter,WWSC
No birds,NONE